,Label
1,2
2,0
3,8
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,7
13,0
14,0
15,4
16,0
17,8
18,0
19,9
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,2
28,7
29,0
30,0
31,0
32,0
33,0
34,2
35,0
36,8
37,0
38,0
39,0
40,0
41,0
42,7
43,4
44,9
45,8
46,7
47,0
48,0
49,0
50,0
51,0
52,8
53,0
54,0
55,8
56,2
57,0
58,0
59,0
60,0
61,7
62,1
63,7
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,8
74,8
75,0
76,0
77,0
78,0
79,2
80,3
81,0
82,0
83,0
84,0
85,0
86,2
87,4
88,0
89,7
90,0
91,2
92,0
93,0
94,0
95,0
96,7
97,0
98,9
99,7
100,7
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,7
117,1
118,1
119,0
120,3
121,0
122,0
123,2
124,0
125,0
126,1
127,0
128,0
129,8
130,0
131,3
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,4
142,0
143,4
144,0
145,0
146,8
147,7
148,7
149,2
150,0
151,4
152,0
153,0
154,0
155,0
156,0
157,7
158,0
159,7
160,0
161,3
162,0
163,4
164,0
165,0
166,0
167,7
168,0
169,0
170,0
171,0
172,0
173,8
174,0
175,0
176,3
177,0
178,4
179,7
180,0
181,4
182,0
183,0
184,2
185,4
186,9
187,2
188,1
189,0
190,0
191,0
192,0
193,4
194,9
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,4
209,0
210,2
211,0
212,0
213,3
214,0
215,8
216,0
217,0
218,0
219,3
220,0
221,8
222,0
223,0
224,0
225,2
226,0
227,0
228,6
229,0
230,0
231,0
232,4
233,0
234,0
235,7
236,0
237,0
238,0
239,0
240,0
241,8
242,0
243,2
244,0
245,0
246,0
247,0
248,8
249,0
250,0
251,9
252,7
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,3
264,0
265,7
266,0
267,0
268,8
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,8
280,0
281,0
282,0
283,8
284,0
285,0
286,0
287,7
288,0
289,9
290,0
291,0
292,0
293,7
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,4
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,8
318,0
319,0
320,0
321,7
322,0
323,0
324,9
325,8
326,4
327,0
328,8
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,8
345,0
346,0
347,0
348,0
349,0
350,0
351,4
352,7
353,0
354,0
355,0
356,8
357,0
358,8
359,0
360,7
361,0
362,0
363,1
364,8
365,0
366,2
367,0
368,0
369,0
370,6
371,0
372,0
373,0
374,7
375,7
376,0
377,9
378,0
379,0
380,7
381,8
382,0
383,8
384,0
385,3
386,0
387,0
388,0
389,3
390,0
391,0
392,7
393,9
394,9
395,0
396,0
397,0
398,0
399,7
400,0
401,9
402,7
403,0
404,0
405,0
406,0
407,9
408,0
409,0
410,0
411,0
412,0
413,4
414,0
415,0
416,7
417,0
418,1
419,0
420,5
421,9
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,7
431,4
432,8
433,5
434,8
435,0
436,0
437,0
438,9
439,0
440,0
441,0
442,4
443,7
444,0
445,7
446,4
447,1
448,0
449,0
450,0
451,0
452,7
453,6
454,0
455,0
456,9
457,8
458,0
459,0
460,0
461,0
462,7
463,5
464,0
465,0
466,0
467,0
468,0
469,4
470,0
471,1
472,4
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,4
482,0
483,0
484,2
485,7
486,9
487,0
488,0
489,0
490,7
491,0
492,0
493,1
494,4
495,1
496,0
497,0
498,3
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,7
512,0
513,8
514,7
515,3
516,3
517,0
518,7
519,0
520,0
521,7
522,0
523,0
524,0
525,0
526,1
527,0
528,1
529,1
530,7
531,0
532,0
533,0
534,8
535,0
536,0
537,0
538,5
539,0
540,0
541,0
542,2
543,8
544,2
545,0
546,0
547,0
548,0
549,1
550,0
551,1
552,0
553,0
554,0
555,0
556,0
557,7
558,0
559,0
560,2
561,0
562,0
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,4
571,0
572,0
573,0
574,0
575,0
576,4
577,0
578,0
579,4
580,0
581,5
582,1
583,0
584,0
585,0
586,1
587,7
588,0
589,8
590,0
591,0
592,8
593,0
594,0
595,3
596,0
597,4
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,8
608,0
609,0
610,0
611,0
612,4
613,0
614,0
615,0
616,4
617,7
618,0
619,0
620,9
621,0
622,0
623,9
624,0
625,0
626,8
627,0
628,0
629,0
630,8
631,4
632,1
633,8
634,0
635,1
636,0
637,0
638,7
639,8
640,0
641,0
642,9
643,9
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,8
656,2
657,4
658,0
659,0
660,7
661,0
662,0
663,4
664,0
665,0
666,0
667,1
668,3
669,8
670,0
671,0
672,9
673,4
674,0
675,0
676,7
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,7
689,0
690,0
691,0
692,0
693,0
694,0
695,8
696,4
697,0
698,0
699,8
700,0
701,4
702,0
703,0
704,0
705,0
706,0
707,8
708,4
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,1
717,2
718,0
719,7
720,8
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,7
732,1
733,0
734,8
735,7
736,7
737,0
738,0
739,0
740,0
741,4
742,0
743,0
744,0
745,0
746,0
747,0
748,7
749,8
750,0
751,0
752,7
753,4
754,0
755,7
756,4
757,7
758,0
759,1
760,0
761,0
762,0
763,4
764,0
765,7
766,0
767,0
768,0
769,1
770,8
771,0
772,0
773,0
774,0
775,0
776,0
777,4
778,0
779,0
780,1
781,0
782,0
783,9
784,8
785,0
786,5
787,5
788,0
789,8
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,3
805,0
806,7
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,4
817,0
818,7
819,0
820,4
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,4
829,0
830,2
831,0
832,0
833,0
834,9
835,0
836,0
837,4
838,0
839,0
840,0
841,0
842,0
843,0
844,8
845,4
846,0
847,7
848,2
849,0
850,5
851,0
852,9
853,0
854,7
855,2
856,0
857,0
858,3
859,0
860,0
861,0
862,0
863,0
864,0
865,8
866,0
867,0
868,0
869,0
870,0
871,7
872,0
873,4
874,0
875,1
876,8
877,0
878,0
879,0
880,0
881,4
882,9
883,0
884,0
885,0
886,7
887,0
888,5
889,4
890,9
891,0
892,0
893,6
894,0
895,4
896,0
897,0
898,0
899,1
900,1
901,0
902,0
903,0
904,0
905,7
906,7
907,0
908,0
909,2
910,7
911,2
912,0
913,9
914,7
915,0
916,0
917,4
918,0
919,1
920,0
921,7
922,0
923,0
924,0
925,4
926,7
927,0
928,0
929,0
930,3
931,0
932,8
933,0
934,0
935,0
936,0
937,7
938,7
939,9
940,0
941,0
942,0
943,4
944,1
945,0
946,0
947,3
948,0
949,0
950,0
951,0
952,7
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,2
961,0
962,0
963,0
964,0
965,0
966,0
967,1
968,8
969,8
970,5
971,0
972,0
973,9
974,0
975,0
976,0
977,8
978,0
979,7
980,4
981,0
982,0
983,7
984,0
985,7
986,7
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,2
999,2
1000,9
1001,0
1002,7
1003,0
1004,7
1005,0
1006,3
1007,4
1008,0
1009,0
1010,0
1011,0
1012,0
1013,3
1014,0
1015,0
1016,7
1017,2
1018,3
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,0
1033,8
1034,7
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,0
1051,2
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,7
1068,0
1069,0
1070,0
1071,0
1072,0
1073,7
1074,6
1075,0
1076,2
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,1
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,3
1101,0
1102,0
1103,0
1104,0
1105,8
1106,2
1107,0
1108,0
1109,4
1110,4
1111,0
1112,8
1113,0
1114,1
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,4
1124,1
1125,0
1126,0
1127,0
1128,0
1129,0
1130,2
1131,0
1132,0
1133,8
1134,0
1135,0
1136,0
1137,8
1138,0
1139,0
1140,7
1141,0
1142,0
1143,0
1144,1
1145,2
1146,0
1147,9
1148,0
1149,0
1150,0
1151,0
1152,7
1153,8
1154,0
1155,7
1156,4
1157,0
1158,0
1159,8
1160,0
1161,0
1162,0
1163,9
1164,0
1165,0
1166,0
1167,0
1168,0
1169,4
1170,0
1171,0
1172,0
1173,0
1174,1
1175,8
1176,0
1177,0
1178,7
1179,8
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,7
1187,0
1188,0
1189,0
1190,0
1191,7
1192,0
1193,0
1194,0
1195,8
1196,0
1197,0
1198,0
1199,0
1200,4
1201,4
1202,0
1203,0
1204,0
1205,0
1206,7
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,8
1214,4
1215,0
1216,9
1217,0
1218,7
1219,0
